"Date","SPYSIM","TLTSIM"
"1964-12-08",12985.43,11041.51
"1964-12-09",12904.35,11060.7
"1964-12-10",12904.58,11062.46
"1964-12-11",12938.56,11081.68
"1964-12-14",12908.11,11065.97
"1964-12-15",12874.59,11067.73
"1964-12-16",12926.98,11052.06
"1964-12-17",12982.43,11053.82
"1964-12-18",13043.72,11038.19
"1964-12-21",13059.44,11039.95
"1964-12-22",13053.48,11024.35
"1964-12-23",13027.41,11026.11
"1964-12-24",13029.2,11027.88
"1964-12-28",13018.6,11029.65
"1964-12-29",12980.15,11014.07
"1964-12-30",13057.76,10998.54
"1964-12-31",13129.18,11000.31
"1965-01-04",13050.5,11019.39
"1965-01-05",13114.18,11021.16
"1965-01-06",13156.19,11040.29
"1965-01-07",13215.23,11042.06
"1965-01-08",13234.04,11026.47
"1965-01-11",13240.46,11045.61
"1965-01-12",13274.74,11047.38
"1965-01-13",13312.11,11049.15
"1965-01-14",13313.89,11050.92
"1965-01-15",13372.93,11052.69
"1965-01-18",13418.04,11054.46
"1965-01-19",13441.49,11073.65
"1965-01-20",13438.63,11075.43
"1965-01-21",13428.03,11077.2
"1965-01-22",13463.85,11096.43
"1965-01-25",13484.2,11098.2
